date,price_mean,price_median,n_obs
1969-11-01,640790.0,619500.0,10
1969-12-01,617403.3333333334,661975.0,12
1970-01-01,638227.2727272727,665000.0,11
1970-02-01,551154.5454545454,369900.0,11
1970-03-01,826291.5,912500.0,12
1970-04-01,466491.0714285714,522500.0,14
1970-05-01,463440.0,249950.0,10
1970-06-01,664622.3,604473.0,20
1970-07-01,539690.6666666666,492500.0,12
1970-08-01,419907.6153846154,339900.0,13
1970-09-01,701988.8888888889,697450.0,18
1970-10-01,384977.2727272727,298950.0,22
1970-11-01,470013.3333333333,292500.0,15
1970-12-01,686077.2727272727,770000.0,11
1971-01-01,516386.6,399900.0,15
1971-02-01,554113.6363636364,499000.0,11
1971-03-01,616724.0322580645,678000.0,31
1971-04-01,536890.8636363636,462249.5,22
1971-05-01,559143.7777777778,412000.0,18
1971-06-01,618503.2142857143,587450.0,28
1971-07-01,606837.5,661950.0,24
1971-08-01,687903.4347826086,650000.0,23
1971-09-01,474346.6666666667,380975.0,24
1971-10-01,557833.2777777778,525000.0,18
1971-11-01,556159.34375,399950.0,32
1971-12-01,690495.0,650000.0,20
1972-01-01,661512.4375,619950.0,16
1972-02-01,534605.5,493000.0,18
1972-03-01,421466.625,242450.0,24
1972-04-01,555208.1904761905,455000.0,21
1972-05-01,623429.0689655172,579900.0,29
1972-06-01,584173.8076923077,529499.5,52
1972-07-01,561664.1176470588,487500.0,34
1972-08-01,621551.0,624450.0,36
1972-09-01,610694.5641025641,599500.0,39
1972-10-01,512485.71428571426,487000.0,28
1972-11-01,599587.5,599000.0,24
1972-12-01,504362.5,395000.0,32
1973-01-01,671961.8571428572,575000.0,21
1973-02-01,536790.8636363636,387000.0,22
1973-03-01,497682.6896551724,340000.0,29
1973-04-01,679675.7,644750.0,40
1973-05-01,565793.1891891892,549000.0,37
1973-06-01,630488.1333333333,650000.0,60
1973-07-01,582021.7173913043,539500.0,46
1973-08-01,654019.696969697,650000.0,33
1973-09-01,581585.6666666666,525000.0,21
1973-10-01,397527.71875,212500.0,32
1973-11-01,499020.3703703704,380000.0,27
1973-12-01,612181.9444444445,555000.0,36
1974-01-01,555257.8947368421,399900.0,19
1974-02-01,546047.695652174,490000.0,23
1974-03-01,661228.5714285715,699000.0,21
1974-04-01,521713.3333333333,439250.0,30
1974-05-01,528727.3636363636,349999.0,33
1974-06-01,669480.303030303,770000.0,33
1974-07-01,604725.4074074074,575000.0,27
1974-08-01,548624.96875,409700.0,32
1974-09-01,560351.8837209302,499900.0,43
1974-10-01,451990.488372093,384900.0,43
1974-11-01,341478.0,175000.0,25
1974-12-01,583885.074074074,449900.0,27
1975-01-01,629095.08,649000.0,25
1975-02-01,610113.6363636364,464500.0,22
1975-03-01,594151.3125,617000.0,16
1975-04-01,667781.25,742450.0,16
1975-05-01,588521.6666666666,580000.0,30
1975-06-01,539739.5925925926,417450.0,54
1975-07-01,533413.5227272727,509950.0,44
1975-08-01,503850.92307692306,365000.0,52
1975-09-01,536617.6176470588,375000.0,34
1975-10-01,597228.125,677450.0,32
1975-11-01,614226.6,620000.0,30
1975-12-01,546501.9583333334,467000.0,48
1976-01-01,405913.7586206897,339900.0,29
1976-02-01,513986.4516129032,439000.0,31
1976-03-01,626527.2352941176,628638.5,34
1976-04-01,794129.7,964450.0,40
1976-05-01,610721.8409090909,587475.0,44
1976-06-01,555831.2280701754,429000.0,57
1976-07-01,588985.2272727273,499500.0,44
1976-08-01,650859.21875,587000.0,64
1976-09-01,565197.3076923077,502000.0,52
1976-10-01,416538.09523809527,334900.0,42
1976-11-01,584732.276923077,494900.0,65
1976-12-01,653831.5,624750.0,46
1977-01-01,658046.3181818182,657000.0,44
1977-02-01,498268.9069767442,410000.0,43
1977-03-01,617626.0188679246,525000.0,53
1977-04-01,651859.0,649950.0,54
1977-05-01,538137.4821428572,449900.0,56
1977-06-01,554443.8524590164,450000.0,61
1977-07-01,556217.0689655172,521000.0,58
1977-08-01,541229.0588235294,445000.0,68
1977-09-01,475136.56603773584,349000.0,53
1977-10-01,455308.06976744183,339900.0,43
1977-11-01,588796.3272727273,590000.0,55
1977-12-01,537546.3088235294,435000.0,68
1978-01-01,556985.1666666666,474500.0,54
1978-02-01,518242.82692307694,412500.0,52
1978-03-01,447498.6041666667,389950.0,48
1978-04-01,489861.6964285714,365500.0,56
1978-05-01,498759.0779220779,449900.0,77
1978-06-01,507003.3617021277,462000.0,94
1978-07-01,536328.3815789474,454950.0,76
1978-08-01,516306.20930232556,405000.0,86
1978-09-01,556880.2142857143,540000.0,84
1978-10-01,553487.4571428571,509975.0,70
1978-11-01,473437.0,400000.0,77
1978-12-01,510781.9761904762,389450.0,84
1979-01-01,563016.9154929577,510000.0,71
1979-02-01,520062.131147541,419900.0,61
1979-03-01,465218.23529411765,327450.0,68
1979-04-01,521227.5970149254,465000.0,67
1979-05-01,520601.4731182796,449900.0,93
1979-06-01,480908.6373626374,399999.0,91
1979-07-01,472777.652173913,399900.0,92
1979-08-01,437017.73913043475,410000.0,115
1979-09-01,566978.8591549295,499000.0,71
1979-10-01,446921.8048780488,374450.0,82
1979-11-01,479475.8620689655,349950.0,58
1979-12-01,558124.5522388059,495000.0,67
1980-01-01,309608.4946236559,235000.0,93
1980-02-01,304812.59210526315,155600.0,76
1980-03-01,402298.9591836735,349000.0,49
1980-04-01,472966.4918032787,319900.0,61
1980-05-01,408923.46376811597,310000.0,69
1980-06-01,361855.5094339623,299000.0,53
1980-07-01,419732.3787878788,359925.0,66
1980-08-01,537546.3580246913,500000.0,81
1980-09-01,527484.6744186047,490000.0,86
1980-10-01,475876.4137931034,359900.0,87
1980-11-01,515270.921875,422500.0,64
1980-12-01,410009.57692307694,337250.0,52
1981-01-01,528935.125,387000.0,64
1981-02-01,473042.4166666667,339025.0,60
